Name	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
Pancreas	4.50E-03	>=0.20	ERP29 (5.5)	KIAA1324 (5.2)	GRINA (5.2)	SARS (5.0)	ALDH2 (4.9)	YIPF2 (4.8)	CLPTM1 (4.7)	BCAM (4.5)	TMED4 (4.4)	C11orf9 (4.0)
Cells - EBV-transformed lymphocytes	0.02	>=0.20	ERP29 (5.7)	FEN1 (5.7)	TOP1 (5.7)	GRINA (5.7)	TRAPPC6A (5.6)	CARM1 (5.6)	SARS (5.3)	TRAFD1 (5.2)	TOMM40 (5.2)	FADS2 (5.0)
Adrenal Gland	0.02	>=0.20	FADS2 (5.7)	CLPTM1 (5.7)	ALDH2 (5.7)	ERP29 (5.7)	APOE (5.7)	APOC1 (5.7)	GRINA (5.7)	OGDH (5.7)	LDLR (5.6)	SARS (5.3)
Artery - Tibial	0.04	>=0.20	BCAM (5.7)	KANK2 (5.7)	GRINA (5.7)	ALDH2 (5.7)	SORT1 (5.7)	PLEC (5.5)	SARS (5.4)	PTPN11 (5.2)	CLPTM1 (5.0)	OGDH (5.0)
Artery - Aorta	0.05	>=0.20	ALDH2 (5.7)	KANK2 (5.7)	SORT1 (5.7)	GRINA (5.7)	PLEC (5.6)	BCAM (5.6)	CLPTM1 (5.3)	SARS (5.3)	ERP29 (5.1)	TMED4 (4.9)
Stomach	0.06	>=0.20	ERP29 (5.7)	ALDH2 (5.7)	C11orf9 (5.7)	GRINA (5.6)	CLPTM1 (5.4)	SARS (5.2)	KIAA1324 (5.2)	KANK2 (5.2)	OGDH (5.1)	PLEC (4.8)
Esophagus - Muscularis	0.06	>=0.20	ALDH2 (5.7)	GRINA (5.7)	KANK2 (5.7)	OGDH (5.5)	SARS (5.4)	CLPTM1 (5.3)	SORT1 (5.2)	PLEC (5.2)	PTPN11 (4.8)	PLCG1 (4.8)
Cells - Transformed fibroblasts	0.07	>=0.20	CLPTM1 (5.7)	IGF2R (5.7)	PLEC (5.7)	SARS (5.7)	GRINA (5.7)	ERP29 (5.6)	TMEM50A (5.6)	PTPN11 (5.6)	OGDH (5.5)	KANK2 (5.4)
Whole Blood	0.07	>=0.20	GMIP (5.7)	HP (5.7)	GRINA (5.7)	LPAR2 (5.7)	BCL3 (5.6)	DNM2 (5.6)	ALDH2 (5.4)	ERP29 (5.1)	IGF2R (4.7)	GMPR (4.7)
Esophagus - Mucosa	0.1	>=0.20	GRINA (5.7)	ALDH2 (5.7)	ERP29 (5.4)	CLPTM1 (5.2)	PLEC (5.1)	SARS (5.0)	BCL3 (4.8)	OGDH (4.8)	HMGCR (4.8)	SMARCA4 (4.7)
Adipose - Subcutaneous	0.11	>=0.20	BCAM (5.7)	GRINA (5.7)	ALDH2 (5.7)	KANK2 (5.7)	APOE (5.7)	GPAM (5.6)	CLPTM1 (5.4)	SARS (5.3)	PTPN11 (5.3)	MOSC1 (5.1)
Adipose - Visceral (Omentum)	0.12	>=0.20	HP (5.7)	KANK2 (5.7)	ALDH2 (5.7)	APOE (5.7)	GRINA (5.7)	GPAM (5.7)	BCAM (5.6)	CLPTM1 (5.4)	MOSC1 (5.3)	SARS (5.0)
Colon - Transverse	0.12	>=0.20	GRINA (5.7)	DNM2 (5.7)	ALDH2 (5.7)	ERP29 (5.7)	KANK2 (5.7)	APOE (5.6)	CLPTM1 (5.4)	OGDH (5.3)	SARS (5.2)	C1orf63 (5.2)
Testis	0.13	>=0.20	APOE (5.7)	YIPF2 (5.7)	GRINA (5.7)	CLPTM1 (5.7)	ERP29 (5.6)	GMPR (5.5)	ALDH2 (5.5)	CARM1 (5.5)	TIMD4 (5.4)	SMARCA4 (5.3)
Thyroid	0.13	>=0.20	BCAM (5.7)	ALDH2 (5.7)	GRINA (5.7)	ERP29 (5.7)	TRIB1 (5.7)	TMED4 (5.7)	APOE (5.7)	PLCG1 (5.5)	OGDH (5.5)	CLPTM1 (5.5)
Breast - Mammary Tissue	0.14	>=0.20	APOE (5.7)	BCAM (5.7)	ALDH2 (5.7)	GRINA (5.7)	KANK2 (5.5)	SARS (5.4)	CLPTM1 (5.3)	ERP29 (5.2)	C1orf63 (5.0)	PLCG1 (4.9)
Lung	0.15	>=0.20	APOE (5.7)	APOC1 (5.7)	GRINA (5.7)	KANK2 (5.7)	BCAM (5.7)	ALDH2 (5.7)	SARS (5.7)	ERP29 (5.5)	CLPTM1 (5.3)	DNM2 (5.3)
Nerve - Tibial	0.17	>=0.20	BCAM (5.7)	PLEC (5.7)	KANK2 (5.7)	GRINA (5.7)	ALDH2 (5.7)	CLPTM1 (5.4)	SARS (5.4)	SORT1 (5.2)	PLCG1 (5.0)	PTPN11 (4.9)
Muscle - Skeletal	0.17	>=0.20	SYPL2 (5.7)	PLEC (5.7)	ALDH2 (5.7)	OGDH (5.7)	GMPR (5.7)	GRINA (5.4)	CARM1 (5.2)	SORT1 (5.2)	IGF2R (5.1)	CLPTM1 (5.1)
Skin - Not Sun Exposed (Suprapubic)	0.22	>=0.20	ALDH2 (5.7)	GRINA (5.7)	APOE (5.7)	ERP29 (5.6)	SARS (5.6)	PLEC (5.6)	CLPTM1 (5.6)	OGDH (5.1)	MAFB (5.1)	HMGCR (5.1)
