GO:0000001		mitochondrion inheritance	P	
GO:0000002		mitochondrial genome maintenance	P	
GO:0000003	GO:0019952 GO:0050876	reproduction	P	
GO:0000005		ribosomal chaperone activity	F	obs
GO:0000006		high affinity zinc uptake transmembrane transporter activity	F	
GO:0000007		low-affinity zinc ion transmembrane transporter activity	F	
GO:0000008	GO:0000013	thioredoxin	F	obs
GO:0000009		alpha-1,6-mannosyltransferase activity	F	
GO:0000010		trans-hexaprenyltranstransferase activity	F	
GO:0000011		vacuole inheritance	P	
GO:0000012		single strand break repair	P	
GO:0000014		single-stranded DNA specific endodeoxyribonuclease activity	F	
GO:0000015		phosphopyruvate hydratase complex	C	
GO:0000016		lactase activity	F	
GO:0000017		alpha-glucoside transport	P	
GO:0000018		regulation of DNA recombination	P	
GO:0000019		regulation of mitotic recombination	P	
GO:0000020		negative regulation of recombination within rDNA repeats	P	obs
GO:0000022		mitotic spindle elongation	P	
GO:0000023		maltose metabolic process	P	
GO:0000024		maltose biosynthetic process	P	
GO:0000025		maltose catabolic process	P	
GO:0000026		alpha-1,2-mannosyltransferase activity	F	
GO:0000027		ribosomal large subunit assembly	P	
GO:0000028		ribosomal small subunit assembly	P	
GO:0000030		mannosyltransferase activity	F	
GO:0000031		mannosylphosphate transferase activity	F	
GO:0000032		cell wall mannoprotein biosynthetic process	P	
GO:0000033		alpha-1,3-mannosyltransferase activity	F	
GO:0000034		adenine deaminase activity	F	
GO:0000035		acyl binding	F	
GO:0000036		acyl carrier activity	F	
GO:0000038		very long-chain fatty acid metabolic process	P	
GO:0000039		plasma membrane long-chain fatty acid transporter	F	obs
GO:0000040		low-affinity iron ion transport	P	
GO:0000041		transition metal ion transport	P	
GO:0000042		protein targeting to Golgi	P	
GO:0000044		ascorbate stabilization	P	obs
GO:0000045		autophagic vacuole assembly	P	
GO:0000046		autophagic vacuole fusion	P	
GO:0000047		Rieske iron-sulfur protein	F	obs
GO:0000048		peptidyltransferase activity	F	
GO:0000049		tRNA binding	F	
GO:0000050	GO:0006594 GO:0006871	urea cycle	P	
GO:0000051		urea cycle intermediate metabolic process	P	obs
GO:0000052		citrulline metabolic process	P	
GO:0000053		argininosuccinate metabolic process	P	
GO:0000054		ribosomal subunit export from nucleus	P	
GO:0000055	GO:0000057	ribosomal large subunit export from nucleus	P	
GO:0000056	GO:0000058	ribosomal small subunit export from nucleus	P	
GO:0000059		protein import into nucleus, docking	P	
GO:0000060		protein import into nucleus, translocation	P	
GO:0000061		protein import into nucleus, substrate release	P	
GO:0000062		fatty-acyl-CoA binding	F	
GO:0000064		L-ornithine transmembrane transporter activity	F	
GO:0000066		mitochondrial ornithine transport	P	
GO:0000067		DNA replication and chromosome cycle	P	obs
GO:0000070	GO:0016359	mitotic sister chromatid segregation	P	
GO:0000072		M phase specific microtubule process	P	
GO:0000073	GO:0030475	spindle pole body separation	P	
GO:0000075		cell cycle checkpoint	P	
GO:0000076		DNA replication checkpoint	P	
GO:0000077		DNA damage checkpoint	P	
GO:0000078		cell shape checkpoint	P	
GO:0000079		regulation of cyclin-dependent protein kinase activity	P	
GO:0000080		G1 phase of mitotic cell cycle	P	
GO:0000082		G1/S transition of mitotic cell cycle	P	
GO:0000083		regulation of transcription involved in G1/S phase of mitotic cell cycle	P	
GO:0000084		S phase of mitotic cell cycle	P	
GO:0000085		G2 phase of mitotic cell cycle	P	
GO:0000086		G2/M transition of mitotic cell cycle	P	
GO:0000087		M phase of mitotic cell cycle	P	
GO:0000088		mitotic prophase	P	
GO:0000089		mitotic metaphase	P	
GO:0000090		mitotic anaphase	P	
GO:0000091		mitotic anaphase A	P	
GO:0000092		mitotic anaphase B	P	
GO:0000093		mitotic telophase	P	
GO:0000094		septin assembly and septum formation	P	obs
GO:0000095	GO:0015177	S-adenosylmethionine transmembrane transporter activity	F	
GO:0000096		sulfur amino acid metabolic process	P	
GO:0000097		sulfur amino acid biosynthetic process	P	
GO:0000098		sulfur amino acid catabolic process	P	
GO:0000099		sulfur amino acid transmembrane transporter activity	F	
GO:0000100	GO:0015178	S-methylmethionine transmembrane transporter activity	F	
GO:0000101		sulfur amino acid transport	P	
GO:0000102		L-methionine secondary active transmembrane transporter activity	F	
GO:0000103	GO:0019378	sulfate assimilation	P	
GO:0000104	GO:0019739	succinate dehydrogenase activity	F	
GO:0000105		histidine biosynthetic process	P	
GO:0000107		imidazoleglycerol-phosphate synthase activity	F	
GO:0000108		repairosome	C	obs
GO:0000109		nucleotide-excision repair complex	C	
GO:0000110		nucleotide-excision repair factor 1 complex	C	
GO:0000111		nucleotide-excision repair factor 2 complex	C	
GO:0000112		nucleotide-excision repair factor 3 complex	C	
GO:0000113		nucleotide-excision repair factor 4 complex	C	
GO:0000114		regulation of transcription involved in G1 phase of mitotic cell cycle	P	
GO:0000115		regulation of transcription involved in S phase of mitotic cell cycle	P	
GO:0000116		regulation of transcription involved in G2-phase of mitotic cell cycle	P	
GO:0000117		regulation of transcription involved in G2/M-phase of mitotic cell cycle	P	
GO:0000118		histone deacetylase complex	C	
GO:0000120		RNA polymerase I transcription factor complex	C	
GO:0000121		glycerol-1-phosphatase activity	F	
