MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A11.436.348	Hepatocytes	Cells	Epithelial Cells	1.08e-04	<= 0.20	APOB (9.0)	ABCG5 (8.1)	ABCG8 (6.8)	NPC1L1 (5.8)	APOA5 (5.5)	HP (5.4)	HNF1A (4.6)	SLC22A1 (4.4)	CYP7A1 (4.2)	ANGPTL3 (4.2)
A03.620	Liver	Digestive System	Liver	1.42e-04	<= 0.20	ANGPTL3 (12.1)	LPA (11.8)	PLG (10.8)	CYP7A1 (10.7)	SLC22A1 (10.3)	ABCG8 (10.0)	ABCG5 (9.8)	APOC4 (9.6)	APOA5 (9.4)	HP (9.1)
A11.627.624.249	Monocyte Macrophage Precursor Cells	Cells	Myeloid Cells	1.57e-04	<= 0.20	OASL (3.0)	HLX (2.8)	TXNL4B (2.4)	C19orf52 (2.0)	SUGP1 (1.9)	TOP1 (1.9)	ANKRD31 (1.9)	TOMM40 (1.8)	MAFB (1.8)	ILF3 (1.7)
A11.436	Epithelial Cells	Cells	Epithelial Cells	5.10e-04	<= 0.20	DNAH11 (1.7)	HAVCR1 (1.1)	PVR (1.0)	MAPKAPK5 (0.9)	PPP1R37 (0.9)	PCSK9 (0.9)	LDLR (0.9)	PVRL2 (0.8)	PSMA5 (0.8)	AP1M2 (0.7)
A15.145.300	Fetal Blood	Hemic and Immune Systems	Blood	1.43e-03	<= 0.20	RHD (4.6)	RHCE (4.0)	GMPR (2.7)	LPIN3 (2.4)	TOMM40 (1.8)	ACAD10 (1.7)	TMEM57 (1.6)	BRAP (1.6)	ABO (1.5)	CARM1 (1.5)
A11.872.378.590.635	Granulocyte Macrophage Progenitor Cells	Cells	Stem Cells	2.86e-03	<= 0.20	HLX (2.6)	TXNL4B (2.1)	OASL (2.0)	C19orf52 (1.8)	SUGP1 (1.7)	FEN1 (1.7)	ILF3 (1.7)	USP1 (1.6)	DNM2 (1.6)	TOMM40 (1.5)
A06.407.071	Adrenal Glands	Endocrine System	Endocrine Glands	6.56e-03	<= 0.20	LDLR (3.1)	POLK (2.9)	FADS2 (2.7)	APOC1 (2.6)	APOE (2.3)	DDX56 (2.2)	FADS1 (2.1)	CLPTM1 (2.0)	ATXN2 (2.0)	DNAH11 (1.8)
A11.627.635	Myeloid Progenitor Cells	Cells	Myeloid Cells	6.57e-03	<= 0.20	FEN1 (2.0)	TXNL4B (2.0)	ILF3 (1.8)	C19orf52 (1.8)	DHODH (1.7)	USP1 (1.6)	PSMA5 (1.6)	HLX (1.5)	BRAP (1.5)	TRAPPC6A (1.5)
A06.407.071.140	Adrenal Cortex	Endocrine System	Endocrine Glands	6.77e-03	<= 0.20	POLK (3.9)	LDLR (3.7)	APOC1 (2.9)	FADS2 (2.8)	APOE (2.7)	FADS1 (2.2)	CLPTM1 (2.2)	ATXN2 (2.1)	DNAH11 (2.1)	GPAM (1.9)
A03.556.249.124	Ileum	Digestive System	Gastrointestinal Tract	7.07e-03	<= 0.20	TM6SF2 (7.0)	APOB (4.6)	ABCG5 (4.6)	CBLC (3.3)	ABCG8 (3.2)	HNF1A (2.5)	ABO (2.3)	BCL3 (2.0)	OGDH (2.0)	C11orf9 (1.7)
A03.556.124.684	Intestine  Small	Digestive System	Gastrointestinal Tract	0.01	<= 0.20	TM6SF2 (4.3)	ABCG5 (2.9)	APOB (2.9)	CBLC (1.8)	HNF1A (1.7)	ABCG8 (1.7)	OGDH (1.3)	FRK (1.3)	BCL3 (1.2)	NPC1L1 (1.1)
